kode_provinsi;nama_provinsi;kode_bps_kabupaten;kode_kemendagri_kabupaten;nama_kabupaten_kota;kode_bps_kecamatan;kode_kemendagri_kecamatan;nama__kecamatan;kode_faskes;nama_faskes;tahun;jumlah;satuan
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104080;610208;Jongkat;1060061;Puskesmas Jungkat;2025;2;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104080;610208;Jongkat;1060062;Puskesmas Wajok Hulu;2025;3;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104081;610215;Segedong;1060063;Puskesmas Segedong;2025;2;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104090;610207;Sungai Pinyuh;1060064;Puskesmas Sungai Pinyuh;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104090;610207;Sungai Pinyuh;1060065;Puskesmas Sungai Purun Kecil;2025;2;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104091;610216;Anjongan;1060066;Puskesmas Anjungan;2025;2;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104100;610201;Mempawah Hilir;1060067;Puskesmas Mempawah;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104101;610218;Mempawah Timur;1060068;Puskesmas Antibar;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104101;610218;Mempawah Timur;1060069;Puskesmas Sungai Bakau Kecil;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104110;610212;Sungai Kunyit;1060070;Puskesmas Sungai Kunyit;2025;2;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104110;610212;Sungai Kunyit;1060071;Puskesmas Semudun;2025;2;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104120;610206;Toho;1060072;Puskesmas Takong;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104120;610206;Toho;1060073;Puskesmas Toho;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104121;610217;Sadaniang;1060074;Puskesmas Sadaniang;2025;1;orang
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104100;610201;Mempawah Hilir;6104014;RS dr. Rubini;2025;33;orang
;;;;;;;;;;;55;
